episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
512,89444,290.8922,171,3,80.76
513,89569,247.0749,125,2,54.49
514,89709,273.4803,140,3,77.73
515,89806,182.797,97,2,50.59
516,90181,658.6074,375,5,98.63
517,90199,-0.5111,18,1,18.36
518,90336,277.6085,137,3,73.44
519,90430,225.3093,94,3,71.39
520,90684,508.1677,254,4,81.84
521,90816,317.3686,132,3,75.88
522,91180,479.8002,364,4,82.81
523,91355,218.3309,175,2,57.03
524,91373,-3.3257,18,1,41.7
525,91582,307.0618,209,2,81.45
526,91633,72.2559,51,2,55.76
527,92233,214.3757,600,2,71.58
528,92261,4.6587,28,1,19.92
529,92861,137.675,600,2,50.0
530,93121,323.7173,260,3,74.41
531,93370,355.1992,249,3,78.91
532,93501,265.6158,131,3,71.0
533,94101,357.2598,600,2,58.69
534,94371,446.5097,270,4,82.13
535,94531,250.683,160,3,72.17
536,94816,492.1021,285,5,95.7
537,94899,136.6335,83,2,48.14
538,94954,85.5156,55,1,50.88
539,94977,-6.5145,23,1,20.21
540,95446,371.5404,469,4,88.09
541,95639,320.1133,193,3,76.07
542,95665,-15.958,26,1,16.7
543,95962,511.5333,297,3,81.84
544,96218,234.984,256,2,78.32
545,96243,11.2838,25,1,20.7
546,96371,255.6963,128,2,54.1
547,96499,223.1366,128,2,54.0
548,96664,328.4107,165,3,55.08
549,97264,343.7015,600,5,88.77
550,97818,218.953,554,3,79.1
551,98001,337.9466,183,3,72.36
552,98358,583.0847,357,5,83.5
553,98481,294.4755,123,3,77.73
554,98688,408.8237,207,3,78.42
555,98811,217.279,123,2,55.57
556,98998,371.4901,187,4,94.24
557,99018,-3.6464,20,1,40.23
558,99254,228.5724,236,2,75.39
559,99371,224.1116,117,2,55.08
560,99664,403.2802,293,3,91.02
561,99951,546.1493,287,4,86.52
562,100150,466.5489,199,4,81.84
563,100333,281.0075,183,3,74.71
564,100398,44.6534,65,1,46.48
565,100569,187.3559,171,2,65.92
566,100754,424.1236,185,3,81.35
567,101276,573.5044,522,5,85.16
568,101478,459.8186,202,4,82.03
569,102078,602.8622,600,5,95.31
570,102087,-17.4439,9,1,39.75
571,102207,279.8499,120,3,75.1
572,102242,71.4212,35,2,56.45
